
1, 31, 12, 23, 27, 15, 7, 26
2, 3, 34, 26, 6, 7, 44, 2
3, 6, 14, 21, 8, 41, 45, 27
4, 23, 3, 1, 17, 43, 20, 12
5, 44, 18, 22, 26, 2, 40, 16
6, 19, 37, 20, 26, 45, 13, 31
7, 13, 25, 7, 18, 38, 24, 11
8, 14, 36, 32, 35, 19, 17, 15
9, 13, 1, 42, 15, 38, 18, 27
10, 35, 8, 2, 42, 12, 6, 28
11, 16, 40, 19, 23, 42, 3, 6
12, 19, 36, 17, 22, 11, 38, 41
13, 27, 4, 45, 44, 28, 26, 41
14, 38, 33, 34, 4, 21, 25, 42
15, 8, 4, 6, 25, 28, 5, 37
16, 19, 40, 15, 30, 24, 28, 17
17, 11, 4, 24, 34, 17, 22, 6
18, 19, 38, 8, 45, 43, 7, 9
19, 18, 19, 17, 28, 42, 33, 24
20, 35, 10, 19, 23, 21, 40, 36
21, 33, 39, 21, 28, 40, 17, 1
22, 4, 17, 10, 34, 25, 21, 3
23, 34, 31, 43, 40, 25, 26, 22
24, 38, 12, 14, 18, 4, 30, 26
25, 34, 31, 28, 6, 18, 42, 25
26, 9, 30, 4, 26, 18, 44, 19
27, 42, 11, 29, 43, 36, 21, 23
28, 31, 34, 16, 7, 13, 38, 8
29, 31, 23, 45, 13, 18, 40, 32
30, 4, 36, 30, 33, 39, 35, 40
31, 12, 18, 32, 20, 19, 24, 40
32, 11, 44, 30, 19, 26, 39, 18
33, 26, 39, 33, 34, 11, 35, 2
34, 35, 39, 17, 19, 13, 29, 34
35, 12, 24, 32, 19, 35, 1, 36
36, 4, 8, 24, 1, 34, 9, 41
37, 42, 38, 18, 31, 3, 9, 39
38, 20, 19, 11, 40, 3, 4, 45
39, 5, 35, 20, 24, 44, 33, 37
40, 1, 21, 5, 24, 13, 38, 26
41, 21, 8, 30, 2, 24, 13, 11
42, 40, 41, 35, 33, 7, 3, 23
43, 37, 7, 12, 43, 40, 33, 3
44, 39, 15, 10, 41, 9, 38, 21
45, 42, 25, 36, 14, 21, 43, 27
46, 26, 42, 40, 43, 10, 30, 13
47, 44, 17, 40, 35, 14, 1, 31
48, 12, 10, 8, 11, 1, 3, 18
49, 38, 16, 11, 42, 2, 36, 26
50, 44, 16, 27, 14, 15, 7, 33
51, 8, 35, 19, 41, 45, 42, 20
52, 32, 21, 27, 22, 39, 6, 35
53, 19, 1, 22, 26, 20, 37, 12
54, 34, 35, 25, 20, 28, 42, 5
55, 11, 10, 41, 35, 15, 14, 44
56, 22, 17, 8, 30, 3, 34, 25
57, 15, 44, 38, 14, 31, 35, 22
58, 14, 26, 30, 36, 25, 32, 21
59, 6, 14, 15, 27, 32, 44, 7
60, 1, 44, 9, 26, 12, 21, 31
61, 26, 45, 11, 27, 28, 1, 9
62, 18, 23, 32, 40, 35, 45, 20
63, 12, 23, 26, 43, 2, 19, 15
64, 30, 31, 3, 4, 35, 39, 16
65, 8, 28, 29, 21, 11, 27, 22
66, 27, 37, 42, 26, 36, 12, 7
67, 42, 24, 35, 2, 39, 18, 17
68, 41, 40, 30, 38, 9, 28, 16
69, 40, 31, 8, 36, 19, 24, 29
70, 40, 2, 29, 34, 44, 35, 9
71, 13, 38, 39, 23, 25, 10, 9
72, 9, 31, 2, 44, 17, 28, 45
73, 2, 10, 45, 27, 34, 26, 17
74, 8, 21, 16, 5, 25, 19, 24
75, 37, 11, 16, 27, 12, 19, 9
76, 15, 14, 19, 4, 20, 31, 45
77, 1, 33, 18, 36, 12, 40, 25
78, 15, 2, 4, 6, 1, 41, 11
79, 6, 1, 33, 40, 24, 11, 29
80, 4, 12, 45, 43, 38, 25, 29
81, 21, 40, 18, 38, 12, 26, 13
82, 42, 19, 35, 38, 14, 9, 37
83, 4, 27, 19, 2, 44, 22, 43
84, 27, 9, 19, 32, 38, 1, 29
85, 1, 34, 4, 9, 16, 40, 44
86, 44, 2, 20, 17, 36, 42, 8
87, 17, 16, 6, 36, 11, 39, 19
88, 35, 37, 13, 27, 15, 43, 2
89, 15, 8, 22, 6, 34, 20, 23
90, 37, 32, 43, 2, 8, 11, 40
91, 3, 14, 30, 43, 6, 27, 33
92, 39, 20, 4, 43, 17, 3, 5
93, 27, 14, 43, 13, 20, 11, 23
94, 10, 16, 14, 33, 27, 15, 6
95, 4, 40, 44, 22, 7, 23, 32
96, 38, 27, 41, 40, 36, 13, 26
97, 20, 19, 44, 33, 37, 5, 29
98, 43, 28, 11, 6, 45, 27, 4
99, 45, 35, 5, 36, 33, 24, 30
100, 20, 45, 11, 19, 35, 34, 15
